Nom;Luminosité;Difficulté;Température;Arrosage;Allergène animaux;Type;Description;Photo;emplacement;Budget
Ocimum basilicum;Fort;Moyen;18-30°C;Tous les 3 à 6 jours;Non;Plante aromatique;le basilic star : capricieux mais délicieux. Ne supporte pas les courants d’air.;https://photo.floraccess.com/dg08kjlslhiuhitrvte8eigs9vrrtfrm1qhv8mio_big.jpg;Exterieur;7
Chamaedorea elegans;Faible;Facile;18-26°C;Tous les 7 à 12 jours;Non;Plante d’intérieur;le palmier de salon qui aime l’ombre. Facile, souple, et très “zen”.;https://www.ikea.com/fr/fr/images/products/chamaedorea-elegans-plante-naturelle-palmier-nain__0797381_pe766847_s5.jpg;Interieur;20
Dypsis lutescens;Moyen;Moyen;18-28°C;Tous les 7 à 12 jours;Non;Plante d’intérieur;le palmier aréca : ambiance tropiques à la maison, sans passeport.;https://florastore.com/cdn/shop/files/3121701_Productimage_01_SQ_7e76c8bc-d02f-4be5-8cb2-dc2d5775332f.png?v=1758705229&width=1080;Interieur;35
Phoenix roebelenii;Moyen;Moyen;18-28°C;Tous les 7 à 12 jours;Non;Plante d’intérieur;une plante à l'allure royale, mais de taille raisonnable. Juste attention aux piquants.;https://lagreentouch.fr/cdn/shop/files/acheter-plante-phoenix-roebelenii-150-cm-o27-479891.jpg?v=1761151071&width=1214;Interieur;40
Musa acuminata 'Dwarf Cavendish';Fort;Moyen;20-30°C;Tous les 3 à 6 jours;Non;Tropicale;le bananier nain : grosses feuilles, vibes jungle, appétit d’ogre pour la lumière.;https://www.aquasabi.com/media/image/product/39899/lg/musa-acuminata-dwarf-cavendish.jpg;Interieur;40
Sedum morganianum;Fort;Facile;18-30°C;Toutes les 4 à 6 semaines;Non;Succulente;la queue d’âne retombante : des perles vertes et zéro drama.;https://botanix.com/cdn/shop/files/Sedum-morganianum_d9392124-a0aa-4204-ab3b-51929c87f91a.jpg?v=1711913372;Interieur;15
Crassula ovata;Fort;Facile;15-28°C;Toutes les 4 à 6 semaines;Oui;Succulente;la plante jade : prospérité, tronchi costaud, et oubli d’arrosage toléré.;https://www.aquasabi.com/media/image/product/32737/md/crassula-ovata.jpg;Interieur;15
Curio rowleyanus;Fort;Moyen;18-28°C;Toutes les 4 à 6 semaines;Oui;Succulente;le collier de perles. Joli bijou vert… à manipuler avec finesse.;https://img.crocdn.co.uk/images/products2/pl/20/00/03/37/pl2000033731.jpg?width=940&height=940;Interieur;20
Gasteria bicolor;Fort;Facile;16-28°C;Toutes les 4 à 6 semaines;Non;Succulente;une plante compacte, zébrée, et increvable. La petite cousine chill des aloès.;https://media.cdnws.com/_i/322339/584/3604/84/gasteria-bicolor-liliputana-squat-3.jpeg;Interieur;12
Opuntia microdasys;Fort;Facile;15-35°C;Toutes les 4 à 6 semaines;Non;Succulente;les oreilles de lapin… qui piquent. Soleil, sècheresse, et beaucoup d’espace perso.;https://www.littleshopofhorrors.co.uk/app/uploads/2024/11/Opuntia-microdasys-5.5.jpg;Interieur;10
Schlumbergera truncata;Moyen;Facile;16-24°C;Toutes les 2 à 3 semaines;Non;Succulente;le cactus de Noël : fleurs en fanfare, caractère en douceur.;https://pepinierelocas.com/wp-content/uploads/2019/03/schlumbergera-cactus-noel-petit-4473.jpg;Interieur;12
Cyclamen persicum;Moyen;Moyen;10-20°C;Tous les 3 à 6 jours;Oui;Fleurie;une plante aux fleurs papillon, mais au cœur frileux. Belle en hiver, elle est assez susceptible le reste du temps.;https://botanix.com/cdn/shop/files/Plante_Tropicale_Cyclamen_Rouge_Rose_Fushia_eba38d63-d0f7-414f-bee9-40321f2c4627.jpg?v=1743789303&width=1946;Interieur;8
Gerbera jamesonii;Fort;Moyen;16-26°C;Tous les 3 à 6 jours;Non;Fleurie;la fleur smiley. Couleurs pop, bonne humeur instantanée.;https://www.provenwinners.com/sites/provenwinners.com/files/imagecache/500x500/ifa_upload/gerbera_joybera_pink_dark_eye_pot_on_sweep_pot_on_sweep.jpg;Exterieur;10
Pelargonium zonale;Fort;Facile;12-28°C;Tous les 3 à 6 jours;Oui;Fleurie;le “géranium” des balcons : fleuri, robuste, un peu parfumé… et têtu.;https://www.lucasgreenhouses.com/_ccLib/image/plants/DETA-4195.jpg;Exterieur;8
Petunia × atkinsiana;Fort;Facile;12-28°C;Tous les 3 à 6 jours;Non;Fleurie;la cascade de couleurs. Simple, efficace, et très balcon-compatible.;https://www.plantitude.co.ke/cdn/shop/files/Petunia_7.png?v=1756214571&width=1500;Exterieur;6
Hydrangea macrophylla;Moyen;Moyen;12-24°C;Tous les 3 à 6 jours;Oui;Fleurie;les boules de fleurs XXL. Demande de l’eau, rend de la poésie.;https://hortensias.fr/wp-content/uploads/2019/11/hydrangea-macrophylla-atlantica-6.jpg;Exterieur;20
Jasminum officinale;Fort;Moyen;15-28°C;Tous les 3 à 6 jours;Non;Plante grimpante;ton futur parfum favori. Il grimpe, il embaume, il séduit le quartier.;https://www.happysunrize.com/cdn/shop/files/84038E8F-62D3-41E2-89F0-4024E9A0CBE4_2048x.jpg?v=1697599639;Exterieur;25
Wisteria sinensis;Fort;Moyen;10-25°C;Tous les 7 à 12 jours;Oui;Plante grimpante;la glycine en cascade. Splendide, vigoureuse, légèrement tyrannique.;https://innocentiemangonipiante.it/wp-content/themes/yootheme/cache/ff/1642781573-scaled-ffd9a723.jpeg;Exterieur;40
Clematis 'Nelly Moser';Moyen;Moyen;10-25°C;Tous les 7 à 12 jours;Oui;Plante grimpante;une plante aux fleurs étoilées et au look romantique. Elle aime grimper avec style.;https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhsoO5NVEAm1SbeHBaWLoL-Tefi19jm9CLssQnBdissZofAGVn2clZt-sSBnLZRms8Q8PxAY5FLBt776WWK5a9SStGjChzksXMDtTgwffGkSkJfcUXc0-2rwQFeODP5puo5iq9rQvAiky0/s1600/DSC_0229.jpg;Exterieur;30
Passiflora caerulea;Fort;Moyen;15-28°C;Tous les 3 à 6 jours;Non;Plante grimpante; une plante aux fleurs d'allures de science-fiction. Croissance rapide et ambiance tropicale au jardin assurée.;https://mikroklimat.pl/wp-content/uploads/2024/06/P1412991.jpg;Exterieur;25
Calathea makoyana;Faible;Moyen;18-26°C;Tous les 7 à 12 jours;Non;Tropicale;une plante aux feuilles peintes à la main. Belle, sensible, mais tellement photogénique.;https://plnts.com/_next/image?url=https%3A%2F%2Fwebshop.plnts.com%2Fmedia%2Fcatalog%2Fproduct%2Fcache%2Faa5d334f459227518b6c3cf7ea9d29ed%2Fp%2Fl%2Fpl.l.030-2-0106.jpg&w=3840&q=80;Interieur;25
Spathiphyllum floribundum;Moyen;Moyen;18-26°C;Tous les 7 à 12 jours;Oui;Fleurie;le cousin du “lys de paix” : il purifie l’air et fleurit quand il est heureux.;https://upload.wikimedia.org/wikipedia/commons/c/c1/Spathiphyllum_floribundum_1.JPG;Interieur;20
Nerium oleander;Fort;Moyen;15-30°C;Tous les 7 à 12 jours;Oui;Fleurie;le laurier-rose : méditerranéen, somptueux, 100 % à tenir loin des animaux.;https://green-bubble.com/cdn/shop/files/NeriumOleanderstruik160.jpg?v=1741388328;Exterieur;20
Hosta sieboldiana;Faible;Facile;10-25°C;Tous les 7 à 12 jours;Non;Fougère;une fougère qui n'est techniquement pas...une fougère, mais reine de l’ombre au jardin, feuilles XXL.;https://www.promessedefleurs.com/media/catalog/product/H/o/Hosta-sieboldiana-var-elegans-9305-1.jpg;Exterieur;12
Heuchera micrantha;Moyen;Facile;10-25°C;Tous les 7 à 12 jours;Non;Fleurie;une plante au feuillage caramel, cerise ou chocolat : un dessert pour les massifs.;https://ronpaulgardencentre.com/wp-content/uploads/palace-purple.jpg;Exterieur;12
Helleborus niger;Faible;Moyen;0-15°C;Tous les 7 à 12 jours;Oui;Fleurie;la rose de Noël. Elle fleurit quand le reste du monde hiberne.;https://www.willemsefrance.fr/cdn/shop/files/89935_5_1700219728476_1744x.jpg?v=1760588840;Exterieur;15
